hour,weekday,lot_id,lot_name,class_density,event,occupancy_pct
0,0,0,P_CENTRAL,0,0,0.0
0,0,1,P_EAST,0,0,0.0616
0,0,2,P_NORTH,0,0,0.0734
0,0,3,P_SOUTH,0,0,0.0
0,0,4,P_WEST,0,0,0.0
1,0,0,P_CENTRAL,0,0,0.0492
1,0,1,P_EAST,0,0,0.0219
1,0,2,P_NORTH,0,0,0.0384
1,0,3,P_SOUTH,0,0,0.0
1,0,4,P_WEST,0,0,0.0661
2,0,0,P_CENTRAL,0,0,0.0855
2,0,1,P_EAST,0,0,0.0452
2,0,2,P_NORTH,0,0,0.0933
2,0,3,P_SOUTH,0,0,0.0534
2,0,4,P_WEST,0,0,0.0037
3,0,0,P_CENTRAL,0,0,0.0941
3,0,1,P_EAST,0,0,0.0238
3,0,2,P_NORTH,0,0,0.1055
3,0,3,P_SOUTH,0,0,0.0487
3,0,4,P_WEST,0,0,0.0482
4,0,0,P_CENTRAL,2,0,0.1806
4,0,1,P_EAST,2,0,0.097
4,0,2,P_NORTH,2,0,0.0996
4,0,3,P_SOUTH,2,0,0.0701
4,0,4,P_WEST,2,0,0.1136
5,0,0,P_CENTRAL,1,0,0.2413
5,0,1,P_EAST,1,0,0.1941
5,0,2,P_NORTH,1,0,0.2182
5,0,3,P_SOUTH,1,0,0.2305
5,0,4,P_WEST,1,0,0.1426
6,0,0,P_CENTRAL,3,0,0.3417
6,0,1,P_EAST,3,0,0.3179
6,0,2,P_NORTH,3,0,0.377
6,0,3,P_SOUTH,3,0,0.2347
6,0,4,P_WEST,3,0,0.2288
7,0,0,P_CENTRAL,6,0,0.537
7,0,1,P_EAST,6,0,0.4726
7,0,2,P_NORTH,6,0,0.5351
7,0,3,P_SOUTH,6,0,0.3861
7,0,4,P_WEST,6,0,0.373
8,0,0,P_CENTRAL,9,0,0.795
8,0,1,P_EAST,9,0,0.628
8,0,2,P_NORTH,9,0,0.7356
8,0,3,P_SOUTH,9,0,0.5141
8,0,4,P_WEST,9,0,0.5812
9,0,0,P_CENTRAL,10,0,0.9727
9,0,1,P_EAST,10,0,0.7716
9,0,2,P_NORTH,10,0,0.8853
9,0,3,P_SOUTH,10,0,0.5617
9,0,4,P_WEST,10,0,0.6672
10,0,0,P_CENTRAL,9,0,0.9444
10,0,1,P_EAST,9,0,0.749
10,0,2,P_NORTH,9,0,0.9198
10,0,3,P_SOUTH,9,0,0.5854
10,0,4,P_WEST,9,0,0.7187
11,0,0,P_CENTRAL,9,0,0.9027
11,0,1,P_EAST,9,0,0.7466
11,0,2,P_NORTH,9,0,0.8665
11,0,3,P_SOUTH,9,0,0.6434
11,0,4,P_WEST,9,0,0.7084
12,0,0,P_CENTRAL,10,0,0.9561
12,0,1,P_EAST,10,0,0.7415
12,0,2,P_NORTH,10,0,0.8943
12,0,3,P_SOUTH,10,0,0.6123
12,0,4,P_WEST,10,0,0.629
13,0,0,P_CENTRAL,8,0,0.9247
13,0,1,P_EAST,8,0,0.7232
13,0,2,P_NORTH,8,0,0.8799
13,0,3,P_SOUTH,8,0,0.6257
13,0,4,P_WEST,8,0,0.7076
14,0,0,P_CENTRAL,8,0,0.9763
14,0,1,P_EAST,8,0,0.785
14,0,2,P_NORTH,8,0,0.8476
14,0,3,P_SOUTH,8,0,0.6383
14,0,4,P_WEST,8,0,0.6535
15,0,0,P_CENTRAL,9,0,0.9555
15,0,1,P_EAST,9,0,0.7447
15,0,2,P_NORTH,9,0,0.8122
15,0,3,P_SOUTH,9,0,0.6395
15,0,4,P_WEST,9,0,0.6612
16,0,0,P_CENTRAL,8,0,0.7907
16,0,1,P_EAST,8,0,0.6223
16,0,2,P_NORTH,8,0,0.7106
16,0,3,P_SOUTH,8,0,0.4892
16,0,4,P_WEST,8,0,0.5239
17,0,0,P_CENTRAL,7,0,0.5786
17,0,1,P_EAST,7,0,0.3883
17,0,2,P_NORTH,7,0,0.4579
17,0,3,P_SOUTH,7,0,0.3189
17,0,4,P_WEST,7,0,0.3679
18,0,0,P_CENTRAL,3,0,0.4485
18,0,1,P_EAST,3,0,0.3646
18,0,2,P_NORTH,3,0,0.4817
18,0,3,P_SOUTH,3,0,0.2955
18,0,4,P_WEST,3,0,0.3693
19,0,0,P_CENTRAL,5,0,0.3758
19,0,1,P_EAST,5,0,0.3155
19,0,2,P_NORTH,5,0,0.3283
19,0,3,P_SOUTH,5,0,0.2505
19,0,4,P_WEST,5,0,0.3232
20,0,0,P_CENTRAL,4,0,0.3127
20,0,1,P_EAST,4,0,0.2409
